ORG_ID,SUPPLIER_NAME,WATER_SYSTEM_ID,COUNTY,HYDRO_REGION,CLIMATE_ZONE,REPORT_PERIOD_START_DATE,REPORT_PERIOD_END_DATE,Shortage Level,DWR_STANDARD_LEVEL
1481,Los Angeles County Waterworks District 29 - Malibu & Marina Del Rey,CA1910204,LOS ANGELES,South Coast,6,3/1/24,3/31/24,2,2 (10-19% Shortage)
1484,Los Angeles County Waterworks District 40 - Antelope Valley,"CA1910005,CA1910025,CA1910027,CA1910070,CA1910203",LOS ANGELES,South Lahontan,14,3/1/24,3/31/24,2,2 (10-19% Shortage)
1487,City of Los Banos,CA2410005,MERCED,San Joaquin River,12,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1506,City of Lynwood,CA1910079,LOS ANGELES,South Coast,8,3/1/24,3/31/24,2,2 (10-19% Shortage)
1510,City of Madera,CA2010002,MADERA,San Joaquin River,13,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1533,Mammoth Community Water District,CA2610001,MONO,South Lahontan,16,3/1/24,3/31/24,2,2 (10-19% Shortage)
1536,City of Manhattan Beach,CA1910083,LOS ANGELES,South Coast,6,3/1/24,3/31/24,2,2 (10-19% Shortage)
1539,City of Manteca,CA3910005,SAN JOAQUIN,San Joaquin River,12,3/1/24,3/31/24,2,2 (10-19% Shortage)
1546,Marin Municipal Water District,CA2110002,MARIN,San Francisco Bay,3,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1547,Marina Coast Water District,CA2710017,MONTEREY,Central Coast,3,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1554,City of Martinez,CA0710006,CONTRA COSTA,San Francisco Bay,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1570,McKinleyville Community Services District,CA1210016,HUMBOLDT,North Coast,1,3/1/24,3/31/24,2,2 (10-19% Shortage)
1587,City of Menlo Park,CA4110017,SAN MATEO,San Francisco Bay,3,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1589,City of Merced,CA2410009,MERCED,San Joaquin River,12,3/1/24,3/31/24,2,2 (10-19% Shortage)
1596,Mesa Water District,CA3010004,ORANGE,South Coast,6,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1605,Mid-Peninsula Water District,CA4110001,SAN MATEO,San Francisco Bay,3,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1613,City of Millbrae,CA4110018,SAN MATEO,San Francisco Bay,3,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1619,City of Milpitas,CA4310005,SANTA CLARA,San Francisco Bay,4,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1626,Mission Springs Water District,"CA3310008,CA3310078,CA3310081",RIVERSIDE,Colorado River,15,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1631,City of Modesto,"CA5010005,CA5010010,CA5010023,CA5010029,CA5010031,CA5010033,CA5010034,CA5010035",STANISLAUS,San Joaquin River,12,3/1/24,3/31/24,2,2 (10-19% Shortage)
1639,City of Monrovia,CA1910090,LOS ANGELES,South Coast,9,3/1/24,3/31/24,2,2 (10-19% Shortage)
1642,Monte Vista Water District,CA3610029,SAN BERNARDINO,South Coast,10,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
